word	file	lines
FirstName	About.md	12,111
Generis	LICENSE.md	85,123,262,264,271
ies	LICENSE.md	112
immunities	LICENSE.md	370
io	03-first-task.Rmd	316
io	03-first-task.md	314
io	03-first-task.md	314
LastName	About.md	12,111
mem	03-first-task.Rmd	23,155,264,325,406
mem	03-first-task.md	21,153,262,323,404
mem	03-first-task.md	21,153,262,323,404
miniWDL	index.md	22
miniWDL	index.md	22
miniWDL	index.Rmd	22
mved	03-first-task.Rmd	204
mved	03-first-task.md	202
mved	03-first-task.md	202
Nextflow	index.md	30
Nextflow	index.md	30
Nextflow	index.Rmd	30
seperately	07-task-aliasing.Rmd	34
seperately	07-task-aliasing.md	32
seperately	07-task-aliasing.md	32
variabls	03-first-task.Rmd	95
variabls	03-first-task.md	93
variabls	03-first-task.md	93
walltime	09-appendix-backends.Rmd	19,19
walltime	09-appendix-backends.md	17,17
walltime	09-appendix-backends.md	17,17
